date,demand,rrp,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,year,month,day,weekday,month_sin,month_cos,fr_RRP,rrp_rolling_7,demand_rolling_7,day_of_year,is_weekend,is_summer,min_temperature_rolling_7,max_temperature_rolling_7,solar_exposure_rolling_7,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,demand_lag1,demand_lag7,demand_lag30,rrp_lag1,rrp_lag7,rrp_lag30
2019-07-30,0.7369074055303895,0.6203406376683289,138858.045,5959.859705,0.0,0.0,0.0,-0.8414163248418993,-1.3153414421439646,-0.7395113116962266,0.8,0.6572499977993861,-0.19661427192013722,2019,7,30,1,-0.5,-0.866025404,59.59859705,0.8193636077108841,1.2467500640029123,0.3230127737249607,-0.6359258216325094,1.649087621015046,-0.797956524765061,-1.2380147868450426,-1.0132336104574973,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,3.158875531523189,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.050141373204474,0.7324610211404291,116150.915,0.8049802023780597,0.046329475835519045,-0.47260649559340606
2019-07-31,0.7563401612546525,0.8606644694156602,140275.83,8268.746523,0.0,0.0,0.0,-2.0309163761435864,-1.3153414421439646,-0.407877435857253,0.0,0.6572499977993861,-0.19661427192013722,2019,7,31,2,-0.5,-0.866025404,82.68746523,1.128418625037872,1.3150909559708652,0.33287170507252906,-0.6359258216325094,1.649087621015046,-0.964028880669098,-1.2984865728039474,-0.9346207527445916,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,3.158875531523189,-0.3146922565963122,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.478689167341822,1.2457497475367778,130565.58,1.2306005077292734,0.5538072401809049,-0.027820472831683263
2019-08-01,0.7203649909815188,0.5557456532185276,137651.135,5339.269949,0.0,0.0,0.0,-1.351202061114051,-1.0854606457678968,-0.7522664607669564,0.0,0.6572499977993861,-0.19661427192013722,2019,8,1,3,-0.866025404,-0.5,53.39269949,1.1981358904225583,1.3867356687632897,0.3427306364200975,-0.6359258216325094,1.649087621015046,-1.1051903831875294,-1.3303138285717917,-0.858253976680626,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.5861724761261302,1.0304059208961405,135866.75,2.4785314594274794,0.4610133912667344,0.7258401677216606
2019-08-02,0.6927157851280279,0.598429980663624,135633.89,5749.355292,0.0,0.0,0.0,-0.4044571223229126,-1.279975165778416,-0.9053282496157132,0.4,0.6572499977993861,-0.19661427192013722,2019,8,2,4,-0.866025404,-0.5,57.49355292,1.2512052599175445,1.373667005632743,0.3525895677676659,-0.6359258216325094,1.649087621015046,-1.1591638988563413,-1.3716892610699893,-0.8245627519465237,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.3871924451978639,1.2995937552053516,137327.7,0.8951777582113553,0.7865708308694868,0.8473242641016395
2019-08-03,0.47752239748849035,0.6824605686447862,119933.7,6556.670636,0.0,0.0,0.0,-0.3316305885697479,-1.0677775075851224,-1.0583900384644704,0.0,0.6572499977993861,-0.19661427192013722,2019,8,3,5,-0.866025404,-0.5,65.56670636,1.3783493193605283,1.3428677968520417,0.3624484991152343,1.5725104500912732,1.649087621015046,-1.1508602810611397,-1.4162474191449714,-0.8807147931700275,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.2342636391880635,0.19825823754253033,135182.725,1.1168249123194849,0.7615536484936494,0.5161927068921607
2019-08-04,0.4832313267341035,0.7181121009916716,120350.215,6899.189114,0.0,0.0,0.0,-0.5258346785781868,-1.2092426130473182,-0.9308385477571728,1.0,0.6572499977993861,-0.19661427192013722,2019,8,4,6,-0.866025404,-0.5,68.99189114,1.5757809561677552,1.3723299331316896,0.37230743046280274,1.5725104500912732,1.649087621015046,-1.0429132497235156,-1.479901930680661,-0.9480972426382325,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.04402085220531484,-0.07040334496955904,132774.295,1.553171032754776,0.5087472783004372,0.3073064638918605
2019-08-05,0.5559005689740257,0.6092605660837184,125652.055,5853.409042,0.0,0.0,0.0,-0.3316305885697479,-0.731797882112408,-0.48440833028163166,0.0,0.6572499977993861,-0.19661427192013722,2019,8,5,0,-0.866025404,-0.5,58.53409042,1.634881423420774,1.2574502182581675,0.38216636181037117,-0.6359258216325094,1.649087621015046,-0.9972433518499055,-1.4417092237592473,-0.9301285894467112,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.07559715634049527,1.0504519846727762,114660.9,1.7382989510626197,0.8052614081301753,-0.09187487255768122
2019-08-06,0.6445582808257544,0.5021786169818984,132120.39,4824.630086,0.0,0.0,0.0,-0.5501101898292415,-1.1385100603162202,-1.275227572666876,0.4,0.6572499977993861,-0.19661427192013722,2019,8,6,1,-0.866025404,-0.5,48.24630086,1.5363636219766754,1.1549734440334423,0.39202529315793955,-0.6359258216325094,1.649087621015046,-0.9474216450786943,-1.409881967991403,-1.0244640187021978,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.4775334907247674,1.4787932899485945,114469.88,1.1730649558993376,1.2311763420646382,0.5698603532297201
2019-08-07,0.7020565728345758,0.7258690747536454,136315.38,6973.713452,0.0,0.0,0.0,-0.5015591673271316,-1.0324112312195737,-0.8925731005449835,0.0,0.6572499977993861,-0.19661427192013722,2019,8,7,2,-0.866025404,-0.5,69.73713452,1.4239777144765664,1.0947367384617999,0.401884224505508,-0.6359258216325094,1.649087621015046,-0.6858576845298359,-1.3589583587628515,-1.109815121361924,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.9679026568009789,1.5862248096294047,127307.26,0.6170198991909029,2.4799711532255366,0.982734057008315
2019-08-08,0.6566794156926028,0.5360195938469936,133004.73,5149.753836,0.0,0.0,0.0,-1.1327224598545573,-1.0677775075851224,-0.6247149700596589,10.8,0.6572499977993861,-0.19661427192013722,2019,8,8,3,-0.866025404,-0.5,51.49753836,1.4075310763000204,1.024066958524768,0.41174315585307636,-0.6359258216325094,1.649087621015046,-0.6484914044514276,-1.355775633186067,-1.0873543048725223,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.2859278901876285,1.3873406540285014,133803.985,1.7785786336005356,0.8955214017225571,1.6561187976173353
2019-08-09,0.7875808601641632,0.6736169143405247,142555.105,6471.706125,0.0,0.0,0.0,-0.8656918360929543,-1.7397367585305512,-0.9180833986864431,2.0,0.6572499977993861,-0.19661427192013722,2019,8,9,4,-0.866025404,-0.5,64.71706125,1.4702183201381085,1.1293355997531747,0.4216020872006448,-0.6359258216325094,1.649087621015046,-0.7273757735058449,-1.4385264981824628,-1.0896003865214627,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.0349451133725438,1.2344855343040584,127092.715,0.792746135572053,1.117321987389696,0.48358947092316906
2019-08-10,0.5956841363890149,0.5316092842248297,128554.605,5107.382234,0.0,0.0,0.0,-1.49685512862038,-1.3153414421439646,-1.0073694421815513,4.2,0.6572499977993861,-0.19661427192013722,2019,8,10,5,-0.866025404,-0.5,51.07382234,1.3444457851074925,1.2604557795928717,0.4314610185482132,1.5725104500912732,1.649087621015046,-0.9266626005906897,-1.483084656257445,-1.080616059925702,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.7589659664151094,0.04481624666348428,133131.52,1.5072485378770724,1.5539701611754826,0.6126256673103371
2019-08-11,0.49252578674332925,0.5508831579183184,121028.325,5292.554019,0.0,0.0,0.0,-1.5939571736245992,-1.2446088894128668,-0.39512228678652334,6.0,0.6572499977993861,-0.19661427192013722,2019,8,11,6,-0.866025404,-0.5,52.92554019,1.205018347139694,1.270769534952786,0.4413199498957816,1.5725104500912732,1.649087621015046,-1.1093421920851303,-1.489450107411014,-0.986280630670215,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.6975779106557859,0.07637733626441347,128384.14,0.7698446952777034,1.7392262312082443,0.6635767921616246
2019-08-12,0.7071008092749693,0.9173513840495808,136683.4,8813.360301,0.0,0.0,0.0,-1.2298245048587768,-1.403757133057837,-0.5864495228474695,8.8,0.6572499977993861,-0.19661427192013722,2019,8,12,0,-0.866025404,-0.5,88.13360301,1.461889631625067,1.438551448832328,0.45117888124335004,-0.6359258216325094,1.649087621015046,-1.2629591212963645,-1.610393679328823,-1.0042492838617365,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,0.12700516708946527,0.4781200040909997,123954.31,0.8699282507301415,1.1736009622050971,0.4082494307289707
2019-08-14,0.6796610375087815,0.6954872412808066,134681.435,6681.823071,0.0,0.0,0.0,-0.5501101898292415,-1.0854606457678968,-0.9946142931108215,0.2,0.6572499977993861,-0.19661427192013722,2019,8,14,2,-0.866025404,-0.5,66.81823071,1.6230610516420791,1.4775038187955225,0.47089674393848685,-0.6359258216325094,1.649087621015046,-1.2629591212963645,-1.6008455025984694,-0.9548354875850529,-0.29157493117351785,-0.2945305932438472,-0.3118646146693445,-0.31091839290429074,-0.3165683452927334,-0.3099703031504985,-0.3165683452927334,3.1777076780214575,-0.30997030315049856,-0.29256242035383856,-0.27953801078210616,-0.2660673215784981,1.3138277532125588,0.9682528936719926,123740.265,2.7728899290540734,0.6171709925467376,0.39646920202868785
