date,demand,RRP,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday
2015-04-25,111803.63,25.97830858,111803.625,25.97830858,0.0,0.0,0.0,11.6,15.0,3.5,3.0,1,1
2015-04-26,108217.82,28.95541976,108217.82,28.95541976,0.0,0.0,0.0,10.4,15.4,5.9,7.0,1,0
2015-04-27,127855.22,48.67306836,127855.22,48.67306836,0.0,0.0,0.0,10.5,15.1,8.3,4.0,1,0
2015-04-28,132642.14,46.2680344,132642.14,46.2680344,0.0,0.0,0.0,10.1,16.0,8.9,1.6,1,0
2015-04-29,132814.62,39.82982089,132814.615,39.82982089,0.0,0.0,0.0,7.4,17.1,12.6,0.0,1,0
2015-04-30,132669.58,39.09265231,132669.58,39.09265231,0.0,0.0,0.0,6.4,19.6,12.3,0.0,1,0
2015-05-01,126304.45,47.4744621,126304.445,47.4744621,0.0,0.0,0.0,7.9,23.1,12.1,0.0,1,0
2015-05-02,108487.98,25.8520399,108487.975,25.8520399,0.0,0.0,0.0,11.6,22.2,6.1,0.0,1,0
2015-05-03,109233.34,30.62706307,109233.34,30.62706307,0.0,0.0,0.0,9.7,18.2,11.2,0.0,1,0
2015-05-04,122375.47,28.80303794,122375.47,28.80303794,0.0,0.0,0.0,7.5,22.3,11.6,0.0,1,0
2015-05-05,123734.87,27.38334397,123734.865,27.38334397,0.0,0.0,0.0,9.2,18.1,7.1,0.6,1,0
2015-05-06,129121.86,26.02258938,129121.86,26.02258938,0.0,0.0,0.0,9.5,16.2,7.6,1.4,1,0
2015-05-07,131237.19,29.08203003,131237.185,29.08203003,0.0,0.0,0.0,10.3,15.6,6.9,2.2,1,0
2015-05-08,131138.73,29.07560905,131138.73,29.07560905,0.0,0.0,0.0,10.5,15.9,5.9,0.2,1,0
2015-05-09,108377.05,19.60236047,108377.05,19.60236047,0.0,0.0,0.0,12.8,18.7,7.3,0.0,1,0
2015-05-10,103811.28,13.27984076,84331.03,18.30634177,19480.25,-8.480147303,0.22916667,12.8,16.6,5.9,8.6,1,0
2015-05-11,123740.25,28.47548938,121962.52,28.93165225,1777.725,-2.82,0.020833334,12.4,15.9,7.9,2.6,1,0
2015-05-12,129312.58,28.35535897,129312.58,28.35535897,0.0,0.0,0.0,12.8,17.4,5.9,0.0,1,0
2015-05-13,136903.27,33.6029018,136903.27,33.6029018,0.0,0.0,0.0,6.3,12.8,8.7,6.8,1,0
2015-05-14,135217.65,36.08497609,135217.65,36.08497609,0.0,0.0,0.0,7.3,14.6,6.7,4.4,1,0
2015-05-15,135172.41,32.88820189,135172.41,32.88820189,0.0,0.0,0.0,11.5,14.5,6.2,1.8,1,0
2015-05-16,117136.63,35.11935553,117136.63,35.11935553,0.0,0.0,0.0,11.3,16.2,10.4,0.0,1,0
2015-05-17,111897.09,30.54759947,111897.085,30.54759947,0.0,0.0,0.0,7.4,20.5,10.3,0.0,1,0
2015-05-18,127524.8,39.33371288,127524.8,39.33371288,0.0,0.0,0.0,7.2,20.4,10.2,0.0,1,0
2015-05-19,133235.48,34.03831774,133235.48,34.03831774,0.0,0.0,0.0,9.9,16.2,3.2,0.0,1,0
2015-05-20,127522.71,30.97608603,127522.71,30.97608603,0.0,0.0,0.0,13.6,18.1,6.0,2.4,1,0
2015-05-21,135361.2,35.62199843,135361.195,35.62199843,0.0,0.0,0.0,10.3,13.6,3.5,6.2,1,0
2015-05-22,133422.46,34.61410533,133422.46,34.61410533,0.0,0.0,0.0,9.1,14.1,6.7,0.4,1,0
2015-05-23,119331.85,31.22698432,119331.85,31.22698432,0.0,0.0,0.0,10.4,13.3,7.7,0.0,1,0
2015-05-24,118783.09,31.49325856,118783.085,31.49325856,0.0,0.0,0.0,6.0,15.6,8.6,0.0,1,0
2015-05-25,136690.92,51.61033015,136690.92,51.61033015,0.0,0.0,0.0,7.4,17.1,8.1,0.0,1,0
2015-05-26,140886.99,46.40181363,140886.995,46.40181363,0.0,0.0,0.0,5.4,15.6,6.8,0.0,1,0
2015-05-27,133103.37,29.88407137,133103.37,29.88407137,0.0,0.0,0.0,7.9,18.7,7.4,0.0,1,0
2015-05-28,127900.24,26.09688903,127900.235,26.09688903,0.0,0.0,0.0,13.1,19.7,8.4,0.0,1,0
2015-05-29,132338.94,29.80358005,132338.94,29.80358005,0.0,0.0,0.0,9.5,15.8,6.6,0.0,1,0
2015-05-30,114669.79,19.04882579,114669.79,19.04882579,0.0,0.0,0.0,11.0,17.3,8.0,0.0,1,0
2015-05-31,113261.26,18.57271408,113261.26,18.57271408,0.0,0.0,0.0,12.3,16.8,4.9,0.0,1,0
2015-06-01,140920,36.92812664,140919.995,36.92812664,0.0,0.0,0.0,5.2,12.2,8.1,8.2,1,0
2015-06-02,148534.51,59.85603338,148534.505,59.85603338,0.0,0.0,0.0,7.1,11.4,4.6,4.2,1,0
2015-06-03,146902.95,50.5626836,146902.95,50.5626836,0.0,0.0,0.0,8.1,13.6,8.2,0.8,1,0
2015-06-04,147155.27,33.05028479,147155.265,33.05028479,0.0,0.0,0.0,4.4,11.3,5.5,0.0,1,0
2015-06-05,142625.04,37.96653889,142625.035,37.96653889,0.0,0.0,0.0,7.0,15.0,7.0,4.2,1,0
2015-06-06,120128.29,30.18134685,120128.295,30.18134685,0.0,0.0,0.0,9.2,16.6,6.4,0.2,1,0
2015-06-07,109609.69,23.38038485,109609.685,23.38038485,0.0,0.0,0.0,11.2,14.5,6.9,0.0,1,0
2015-06-08,110715.81,24.3576365,110715.815,24.3576365,0.0,0.0,0.0,11.1,18.5,8.2,0.0,1,1
2015-06-09,132854.13,36.71427512,132854.135,36.71427512,0.0,0.0,0.0,10.3,13.5,8.6,4.0,1,0
2015-06-10,144125.53,39.76613747,144125.525,39.76613747,0.0,0.0,0.0,7.5,13.4,7.1,0.0,1,0
2015-06-11,143465.45,37.48182938,143465.445,37.48182938,0.0,0.0,0.0,5.7,14.0,8.3,1.5059439,1,0
2015-06-12,145005.62,37.53937282,145005.62,37.53937282,0.0,0.0,0.0,5.2,13.1,6.9,0.0,1,0
2015-06-13,123754.55,29.86858815,123754.55,29.86858815,0.0,0.0,0.0,6.0,18.2,8.0,0.0,1,0
2015-06-14,119125.62,31.59818231,119125.62,31.59818231,0.0,0.0,0.0,5.8,17.4,8.0,0.0,1,0
2015-06-15,136054.14,36.01098153,136054.145,36.01098153,0.0,0.0,0.0,7.1,16.9,6.6,0.0,1,0
2015-06-16,139073.79,36.94281938,139073.785,36.94281938,0.0,0.0,0.0,9.5,16.1,3.3,5.0,1,0
2015-06-17,134290.46,39.27859913,134290.46,39.27859913,0.0,0.0,0.0,11.7,13.8,4.7,0.0,1,0
2015-06-18,137073.78,37.45776352,137073.775,37.45776352,0.0,0.0,0.0,10.7,12.7,4.2,1.0,1,0
2015-06-19,139781.25,38.55071374,139781.245,38.55071374,0.0,0.0,0.0,7.0,12.4,7.9,0.2,1,0
2015-06-20,129576.36,41.09768311,129576.36,41.09768311,0.0,0.0,0.0,4.1,11.6,7.1,0.0,1,0
2015-06-21,124910.57,33.90238984,124910.57,33.90238984,0.0,0.0,0.0,2.2,12.9,8.6,0.0,1,0
2015-06-22,140431.36,30.47783118,140431.36,30.47783118,0.0,0.0,0.0,3.6,14.1,6.2,0.0,1,0
2015-06-23,133171.4,30.2380616,133171.4,30.2380616,0.0,0.0,0.0,9.6,17.6,5.8,0.0,1,0
2015-06-24,135407.57,32.21777895,135407.57,32.21777895,0.0,0.0,0.0,12.2,16.0,7.7,0.0,1,0
2015-06-25,137379.23,33.05483817,137379.23,33.05483817,0.0,0.0,0.0,9.6,14.0,6.3,0.0,1,0
2015-06-26,135562.08,31.92862512,135562.075,31.92862512,0.0,0.0,0.0,10.5,16.9,7.1,0.0,0,0
2015-06-27,124587.43,28.29254035,124587.43,28.29254035,0.0,0.0,0.0,8.0,14.1,5.0,0.0,0,0
2015-06-28,119277.48,31.00149176,119277.48,31.00149176,0.0,0.0,0.0,9.6,14.5,4.1,0.0,0,0
2015-06-29,139468.16,35.77539876,139468.155,35.77539876,0.0,0.0,0.0,6.9,12.3,5.6,0.0,0,0
2015-06-30,143170.06,37.6252582,143170.055,37.6252582,0.0,0.0,0.0,5.0,14.2,7.9,0.0,0,0
2015-07-01,138931,29.52094616,138931,29.52094616,0.0,0.0,0.0,7.4,15.0,6.9,0.0,0,0
2015-07-02,138972.42,35.6183138,138972.425,35.6183138,0.0,0.0,0.0,10.3,11.9,7.0,0.6,0,0
2015-07-03,145713.81,42.62957624,145713.81,42.62957624,0.0,0.0,0.0,5.9,12.0,5.0,2.6,0,0
2015-07-04,130073.27,29.12782527,130073.27,29.12782527,0.0,0.0,0.0,7.3,10.6,2.8,0.0,0,0
2015-07-05,117312.93,24.00328983,117312.925,24.00328983,0.0,0.0,0.0,8.2,14.9,8.2,2.0,0,0
2015-07-06,143176.34,36.04178884,143176.335,36.04178884,0.0,0.0,0.0,7.5,11.5,4.4,1.6,0,0
2015-07-07,143984.39,37.29751745,143984.39,37.29751745,0.0,0.0,0.0,7.4,14.2,7.0,2.2,0,0
2015-07-08,141696.3,40.58380685,141696.295,40.58380685,0.0,0.0,0.0,4.9,14.8,8.5,0.2,0,0
2015-07-09,141994.38,38.51727354,141994.375,38.51727354,0.0,0.0,0.0,6.5,13.4,3.5,0.0,0,0
2015-07-10,136884.09,32.28845537,136884.095,32.28845537,0.0,0.0,0.0,7.6,14.3,5.8,0.0,0,0
2015-07-11,123971.7,30.62181991,123971.705,30.62181991,0.0,0.0,0.0,10.9,13.1,3.7,0.2,0,0
2015-07-12,124790.7,33.15211905,124790.695,33.15211905,0.0,0.0,0.0,3.4,12.3,2.9,1.6,0,0
2015-07-13,138680.34,47.52630153,138680.335,47.52630153,0.0,0.0,0.0,6.1,12.7,4.2,28.4,0,0
2015-07-14,150671.11,45.25558281,150671.105,45.25558281,0.0,0.0,0.0,8.1,9.8,4.8,3.8,1,0
2015-07-15,151270.54,50.4974182,151270.54,50.4974182,0.0,0.0,0.0,5.8,10.5,7.4,3.6,1,0
2015-07-16,144797.98,40.47170764,144797.98,40.47170764,0.0,0.0,0.0,6.6,12.3,8.1,0.2,1,0
2015-07-17,142965.48,49.21850696,142965.48,49.21850696,0.0,0.0,0.0,7.3,12.3,6.5,2.4,1,0
2015-07-18,130187.45,44.09776708,130187.445,44.09776708,0.0,0.0,0.0,6.1,11.5,9.5,0.4,1,0
2015-07-19,131141.36,43.57342248,131141.355,43.57342248,0.0,0.0,0.0,0.6,12.1,9.7,0.0,1,0
2015-07-20,146154.37,41.79671269,146154.37,41.79671269,0.0,0.0,0.0,1.8,14.7,9.7,0.0,1,0
2015-07-21,138931.81,28.89548968,138931.81,28.89548968,0.0,0.0,0.0,4.2,17.0,8.6,0.0,1,0
2015-07-22,138418.84,33.70727752,138418.835,33.70727752,0.0,0.0,0.0,11.4,16.6,6.0,1.6,1,0
2015-07-23,142316.29,33.97518484,142316.295,33.97518484,0.0,0.0,0.0,5.1,16.1,9.5,0.0,1,0
2015-07-24,136837.16,27.6698245,136837.155,27.6698245,0.0,0.0,0.0,7.6,15.0,4.4,1.2,1,0
2015-07-25,121021.43,22.2391885,121021.425,22.2391885,0.0,0.0,0.0,9.4,13.3,7.7,0.8,1,0
2015-07-26,120396.74,22.38424622,120396.735,22.38424622,0.0,0.0,0.0,8.1,11.6,8.5,3.2,1,0
2015-07-27,142470.43,35.17621745,142470.43,35.17621745,0.0,0.0,0.0,6.2,13.9,9.6,0.8,1,0
2015-07-28,144008.37,40.75298793,144008.37,40.75298793,0.0,0.0,0.0,7.9,14.4,10.2,0.0,1,0
2015-07-29,142637.76,37.23752124,142637.76,37.23752124,0.0,0.0,0.0,8.4,14.0,9.0,0.0,1,0
2015-07-30,143544.11,29.12283736,143544.11,29.12283736,0.0,0.0,0.0,8.6,12.3,4.5,0.0,1,0
2015-07-31,139584.95,35.05977109,139584.955,35.05977109,0.0,0.0,0.0,4.1,14.0,10.8,0.6,1,0
2015-08-01,125032.57,29.88013959,123063.545,30.397744,1969.025,-2.47,0.020833334,6.5,11.4,4.2,0.2,1,0
2015-08-02,117638.07,23.37418658,117638.065,23.37418658,0.0,0.0,0.0,7.8,14.9,8.3,0.0,1,0
2015-08-03,141451.73,38.12797815,139473.49,38.67813099,1978.235,-0.66,0.020833334,7.3,10.8,9.4,6.4,1,0
